Symbol,"DFT
LDA
Etot","DFT
LDA
Ekin","DFT
LDA
Ecoul","DFT
LDA
Eenuc","DFT
LDA
Exc","DFT
LSD
Etot","DFT
LSD
Ekin","DFT
LSD
Ecoul","DFT
LSD
Eenuc","DFT
LSD
Exc","DFT
RLDA
Etot","DFT
RLDA
Ekin","DFT
RLDA
Ecoul","DFT
RLDA
Eenuc","DFT
RLDA
Exc","DFT
ScRLDA
Etot","DFT
ScRLDA
Ekin","DFT
ScRLDA
Ecoul","DFT
ScRLDA
Eenuc","DFT
ScRLDA
Exc"
In,-5737.309064,5733.94412,2334.432447,-13654.87065,-150.814984,-5737.313809,5733.950328,2334.515886,-13654.95827,-150.821755,-5870.165899,6151.216822,2369.191647,-14243.95493,-146.619443,-5868.610083,6100.276039,2366.090371,-14188.64049,-146.336008
Sn,-6019.953353,6016.512431,2438.225987,-14319.01448,-155.677296,-6019.972345,6016.536637,2438.47116,-14319.27747,-155.70267,-6165.265632,6473.77444,2476.231135,-14964.04407,-151.22714,-6163.492534,6417.478715,2472.824352,-14902.87234,-150.923266
Sb,-6310.376268,6306.85786,2544.726589,-15001.36474,-160.595974,-6310.419326,6306.911765,2545.16568,-15001.84569,-160.651084,-6469.046105,6807.128871,2586.194473,-15706.4882,-155.881254,-6467.030198,6745.014139,2582.457965,-15638.94635,-155.555956
Te,-6608.631413,6605.034216,2653.969369,-15702.06148,-165.573522,-6608.650476,6605.057603,2654.124594,-15702.23554,-165.59713,-6781.608647,7151.508845,2699.126623,-16471.66008,-160.584032,-6779.321924,7083.078236,2695.03441,-16397.19825,-160.236317
I,-6914.773092,6911.09591,2766.012734,-16421.26955,-170.612187,-6914.777857,6911.101681,2766.045523,-16421.3071,-170.61796,-7103.057179,7507.152121,2815.098395,-17259.97014,-165.337559,-7100.468962,7431.873857,2810.622805,-17177.9992,-164.966427
Xe,-7228.856107,7225.097817,2880.919348,-17159.15943,-175.713845,-7228.856107,7225.097817,2880.919348,-17159.15943,-175.713845,-7433.498065,7874.305721,2934.185566,-18071.84578,-170.14357,-7430.574788,7791.610919,2929.297187,-17981.73488,-169.748015
Cs,-7550.55771,7546.734488,2988.242134,-17904.90606,-180.628271,-7550.561866,7546.740568,2988.348332,-17905.01643,-180.634333,-7772.66677,8252.878117,3046.118498,-18896.90815,-174.755239,-7769.373337,8162.159299,3040.791832,-18797.99028,-174.334186
Ba,-7880.111578,7876.220134,3098.114585,-18668.85311,-185.593184,-7880.111578,7876.220134,3098.114585,-18668.85311,-185.593184,-8120.851149,8643.291997,3160.859674,-19745.59651,-179.406311,-8117.14838,8543.898187,3155.066584,-19637.15431,-178.958837
La,-8217.57523,8213.607378,3215.018109,-19455.49476,-190.705955,-8217.579298,8213.612422,3215.065667,-19455.54608,-190.711308,-8478.132735,9045.718274,3282.143276,-20621.81673,-184.177552,-8473.978141,8936.988405,3275.859442,-20503.12293,-183.703061
Ce,-8563.360285,8559.301423,3351.833535,-20278.17841,-196.316831,-8563.372995,8559.315999,3351.951026,-20278.30741,-196.332615,-8844.886564,9460.503125,3422.788864,-21538.76621,-189.412346,-8840.235965,9341.824041,3416.006087,-21409.15494,-188.911151
Pr,-8917.664369,8913.501128,3508.213147,-21136.96521,-202.413435,-8917.715777,8913.557171,3508.76041,-21137.55232,-202.481035,-9221.365895,9888.073716,3581.618082,-22495.98099,-195.076708,-9216.171403,9758.787593,3574.336016,-22354.74568,-194.549335
Nd,-9280.311037,9276.05444,3654.948015,-22003.0647,-208.248794,-9280.40567,9276.157337,3655.806961,-22004.00061,-208.369358,-9607.639211,10329.05612,3732.83407,-23469.01545,-200.513948,-9601.84576,10188.28491,3724.998433,-23315.17039,-199.958718
