,material_id,formula_unedited,formula,space group,target
143,40,0.9(0.6Li2S-0.4SiS2)-0.1Li3PO4,Li1.38S1.34Si0.4P0.1O0.4,,-3.812992629854044
144,89,Li3.8Si0.8P0.2S4,Li3.8Si0.8P0.2S4,11.0,-6.0920528055333865
145,94,Li0.2Na0.3La0.5Nb2O6,Li0.2Na0.3La0.5Nb2O6,47.0,-4.928117992693875
146,467,Li6.175P0.825Si0.175S5Br,Li6.175P0.825Si0.175S5Br,216.0,-3.0310503190186573
147,833,Li2OHBrF,Li2OHBrF,,-6.1487416512809245
148,386,Li1.3Al0.15Sc0.15Ti1.7(PO4)3,Li1.3Al0.15Sc0.15Ti1.7P3O12,167.0,-2.906578314837765
149,7,Li2B3PO8,Li2B3PO8,2.0,-12.0
150,1270,(La0.5Li0.5)0.95Ba0.05TiO3,La0.475Li0.475Ba0.05TiO3,,-3.1186153432294272
151,527,(La0.46Li0.429Sr0.111)(TiO3),La0.46Li0.429Sr0.111TiO3,221.0,-3.705533773838407
152,462,Li6.025P0.975Si0.025S5Br,Li6.025P0.975Si0.025S5Br,216.0,-3.056505484093897
153,1233,0.9LiTi2(PO4)3-0.1Li3BO3,Li1.2000000000000002Ti1.8P2.7O11.100000000000001B0.1,,-3.595166283380062
154,1042,0.67(0.75Li2S-0.25P2S5)-0.33LiBH4,Li1.335S1.752P0.5B0.33H1.32,,-2.9469215565165805
155,333,Li1.4Cr0.4Ti1.6(PO4)3,Li1.4Cr0.4Ti1.6P3O12,167.0,-3.826813731587726
156,937,0.54Li2O-0.04Al2O3-0.02TiO2-0.4P2O5,Al0.08Li1.08O2.7P0.8Ti0.02,,-6.705533773838407
157,863,(2Li2S-P2S5)0.75(LiI)0.25,Li3.25P1.5S5.25I0.25,,-3.402304814074488
158,390,LiTi(PO4)3,LiTiP3O12,167.0,-4.221848749616356
159,1262,(Li0.39La0.54)1.025Cr0.05Ti0.95O3,Li0.39975La0.5535Cr0.05Ti0.95O3,,-2.98296666070122
160,14,0.4(Li2S) 0.6(GeS2),Li0.8S1.6Ge0.6,,-5.523351341960726
161,367,Li1.3(Al0.23Y0.07Ti1.7)(PO4)3,Li1.3Al0.23Y0.07Ti1.7P3O12,167.0,-7.415668775632469
162,548,La0.55Li0.33TiO3,La0.55Li0.33TiO3,221.0,-2.8013429130455774
163,1021,0.9Li6Si2S7-0.1Li6B4O9,Li6Si1.8S6.3B0.4O0.9,,-3.424812155072339
164,576,Li1.9Mn0.9Ga0.1Cl4,Li1.9Mn0.9Ga0.1Cl4,227.0,-6.6252516539898965
165,88,Li3.8Ge0.8P0.2S4,Li3.8Ge0.8P0.2S4,11.0,-5.753270974502406
166,352,Li1.2La0.2Ti1.8(PO4)3,Li1.2La0.2Ti1.8P3O12,167.0,-4.096910013008056
167,189,Li2B4O7,Li2B4O7,110.0,-10.0
168,688,Li7La3Zr1.6Ga0.4O12,Li7La3Zr1.6Ga0.4O12,230.0,-4.356547323513813
169,69,Li2ZrO3,Li2ZrO3,15.0,-9.214670164989233
170,650,Li6.06Al0.2La3Zr2O12,Li6.06Al0.2La3Zr2O12,230.0,-3.397940008672037
171,103,Li6.4La3Zr1.4Sb0.6O12,Li6.4La3Zr1.4Sb0.6O12,230.0,-3.1804560644581312
172,993,0.63Li2-0.37SiS2,Li1.26Si0.37S0.74,,-2.978810700930062
173,45,0.85(0.6Li2S-0.4SiS2)-0.15Li3BO3,Li1.47S1.31Si0.4B0.15O0.45,,-3.4678870978703915
174,1258,(Li0.39La0.54)1.01Al0.02Ti0.98O3,Li0.39390000000000003La0.5454Al0.02Ti0.98O3,,-2.8013429130455774
175,464,Li6.075P0.925Si0.075S5Br,Li6.075P0.925Si0.075S5Br,216.0,-3.0589857562944305
