,Unnamed: 0.1,Unnamed: 0,formula_,target_,Ea (eV),space group,ICSD Entry,target,formula_preprocessed,formula,H_ratio,Ag_ratio,Hf_ratio,Co_ratio,Cu_ratio,Te_ratio,Pr_ratio,La_ratio,Nb_ratio,Sn_ratio,Sr_ratio,Se_ratio,Mn_ratio,As_ratio,Cr_ratio,Li_ratio,Br_ratio,N_ratio,I_ratio,Cl_ratio,In_ratio,Nd_ratio,Fe_ratio,S_ratio,Er_ratio,Sm_ratio,Mg_ratio,K_ratio,Ce_ratio,Mo_ratio,O_ratio,Sc_ratio,W_ratio,Al_ratio,Ge_ratio,B_ratio,Bi_ratio,Ru_ratio,Y_ratio,P_ratio,Ga_ratio,Si_ratio,C_ratio,Zn_ratio,Ba_ratio,F_ratio,V_ratio,Ca_ratio,Ta_ratio,Na_ratio,Sb_ratio,Ti_ratio,Cd_ratio,Zr_ratio
82,82,590,Li6.5Ba1.5La1.5Ta2O12,3.2e-05,0.402,230,,-4.494850022,Li6.5Ba1.5La1.5Ta2O12,Li6.5Ba1.5La1.5Ta2O12,0,0,0,0,0,0,0,0.0638297872340425,0,0,0,0,0,0,0,0.2765957446808511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5106382978723404,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0638297872340425,0,0,0,0.0851063829787234,0,0,0,0,0
83,83,636,Li4Nd3TeSbO12,1.96e-06,0.64,230,159732,-5.707743929,Li4Nd3TeSbO12,Li4Nd3TeSbO12,0,0,0,0,0,0.0476190476190476,0,0,0,0,0,0,0,0,0,0.1904761904761904,0,0,0,0,0,0.1428571428571428,0,0,0,0,0,0,0,0,0.5714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0476190476190476,0,0,0
86,86,667,Li5.74La3Zr1.5Ta0.5O12,0.000903,0.435,230,239663,-3.04431225,Li5.74La3Zr1.5Ta0.5O12,Li5.74La3Zr1.5Ta0.5O12,0,0,0,0,0,0,0,0.1319261213720316,0,0,0,0,0,0,0,0.2524186455584872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5277044854881267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0219876868953386,0,0,0,0,0.0659630606860158
91,91,684,Li5La3Nb1.8Y0.2O12,9.05e-06,,230,,-5.043351421,Li5La3Nb1.8Y0.2O12,Li5La3Nb1.8Y0.2O12,0,0,0,0,0,0,0,0.1363636363636363,0.0818181818181818,0,0,0,0,0,0,0.2272727272727272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5454545454545454,0,0,0,0,0,0,0,0.009090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,98,705,Li7.131La3Zr2O12Al0.244,7.73e-05,,230,,-4.111820506,Li7.131La3Zr2O12Al0.244,Li7.131La3Zr2O12Al0.244,0,0,0,0,0,0,0,0.123076923076923,0,0,0,0,0,0,0,0.2925538461538461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4923076923076923,0,0,0.0100102564102564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082051282051282
99,99,609,Li6.4La3Zr1.4Ta0.6O12,0.001,0.35,230,,-3,Li6.4La3Zr1.4Ta0.6O12,Li6.4La3Zr1.4Ta0.6O12,0,0,0,0,0,0,0,0.1282051282051282,0,0,0,0,0,0,0,0.2735042735042735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5128205128205129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256410256410256,0,0,0,0,0.0598290598290598
101,101,695,Li6.2La3Zr1.2Sb0.8O12,0.00045,0.37,230,,-3.346787486,Li6.2La3Zr1.2Sb0.8O12,Li6.2La3Zr1.2Sb0.8O12,0,0,0,0,0,0,0,0.1293103448275862,0,0,0,0,0,0,0,0.2672413793103448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5172413793103449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0344827586206896,0,0,0.0517241379310344
103,103,624,Li6.6La3Zr1.8Mo0.2O12,0.000311,0.48,230,,-3.507239611,Li6.6La3Zr1.8Mo0.2O12,Li6.6La3Zr1.8Mo0.2O12,0,0,0,0,0,0,0,0.1271186440677966,0,0,0,0,0,0,0,0.2796610169491525,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0084745762711864,0.5084745762711864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0762711864406779
103,103,588,Li5.5Ba0.5La2.5Ta2O12,1.35e-05,0.455,230,,-4.869666232,Li5.5Ba0.5La2.5Ta2O12,Li5.5Ba0.5La2.5Ta2O12,0,0,0,0,0,0,0,0.1111111111111111,0,0,0,0,0,0,0,0.2444444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222222222222222,0,0,0,0.0888888888888888,0,0,0,0,0
105,105,604,Li6La3ZrTaO12,0.00016,,230,,-3.795880017,Li6La3ZrTaO12,Li6La3ZrTaO12,0,0,0,0,0,0,0,0.1304347826086956,0,0,0,0,0,0,0,0.2608695652173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5217391304347826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0434782608695652,0,0,0,0,0.0434782608695652
